STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,EDUCATION_LEV,Education level,EXP_SOURCE,Financing source,EXP_DESTINATION,Destination of expenditure,EXPENDITURE_TYPE,Type of expenditure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,SAU,Saudi Arabia,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2018,,,,O,Missing value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,SAU,Saudi Arabia,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2019,,,,O,Missing value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,SAU,Saudi Arabia,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2020,,,,O,Missing value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2015,,0.6209672,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2016,,0.3862026,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2017,,0.3313136,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2018,,0.3985936,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2019,,0.3537834,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,EST,Estonia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2020,,0.3492738,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2015,,,,O,Missing value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2016,,,,M,Missing value; data cannot exist,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2017,,,,M,Missing value; data cannot exist,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2018,,,,M,Missing value; data cannot exist,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2019,,,,M,Missing value; data cannot exist,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,CHL,Chile,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2020,,,,M,Missing value; data cannot exist,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,GRC,Greece,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2015,,0.1497297,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,GRC,Greece,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2016,,0.0807835,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,GRC,Greece,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2017,,0.0690015,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,GRC,Greece,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2018,,0.0803827,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,GRC,Greece,ISCED11_1T8,Primary to tertiary education,S2,Rest of the world,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2019,,0.112962,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2015,,0.4108273,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2016,,0.3953524,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2017,,0.4912311,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2018,,0.5323354,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2019,,0.6310231,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_GDP(1.0),Expenditure on educational institutions as a percentage of GDP,I,EXP,Expenditure on education,LVA,Latvia,ISCED11_1T8,Primary to tertiary education,S1D_NON_EDU,Private sector (households and other non-educational private entities),INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,_Z,Not applicable,PT_B1GQ,Percentage of GDP,2020,,0.62150377,,A,Normal value,0,Units,1,One,,
